;image;nnodes;width;height;npixels;runtime_incr_contour;runtime_non_incr_contour
0;2.pgm;2;400;611;244400;19;34
1;3.pgm;12174;320;320;102400;91;866
2;barb.pgm;62591;512;512;262144;324;3502
3;bird.pgm;7502;256;256;65536;38;618
4;boat.pgm;57281;512;512;262144;257;4266
5;bridge.pgm;19065;256;256;65536;94;1007
6;camera.pgm;15079;256;256;65536;65;905
7;Fig.5.pgm;448;560;500;280000;39;720
8;Fig.17.pgm;4448;600;424;254400;93;6630
9;goldhill.pgm;60303;512;512;262144;257;3312
10;house.pgm;12641;256;256;65536;57;950
11;lena.pgm;49962;512;512;262144;214;3231
12;mandrill.pgm;85621;512;512;262144;461;5148
13;mountain.pgm;78546;640;480;307200;337;2362
14;output6.pgm;32687;540;460;248400;223;4238
15;peppers.pgm;62853;512;512;262144;210;3474
16;w2.pgm;42848;600;450;270000;202;3500
17;w6.pgm;28542;500;286;143000;127;2111
18;washsat.pgm;23318;512;512;262144;81;212
19;zelda.pgm;45342;512;512;262144;178;2910
